 tile,        year,         CAI,         LAI,   treecover,  grasscover,         GPP,       Rauto,          Rh,      burned,        rain,   SiolWater,      Transp,        Evap,      Runoff,      plantC,       soilC,      plantN,       soilN,         NSC,       SeedC,       leafC,       rootC,         swC,         hwC,         NSN,       SeedN,       leafN,       rootN,         swN,         hwN,       fineL,      strucL,       McrbC,     fastSOC,     slowSOC,       fineN,      strucN,       McrbN,     fastSON,     slowSON,    mineralN,      N_fxed,      N_uptk,     N_yrMin,       N_P2S,      N_loss,
    1,    1,      0.0083,      0.0175,      0.0083,      0.0000,      0.0174,      0.0048,      1.5332,      0.0000,   1883.2000,   1170.8898,      4.7831,    504.9130,   1385.4771,      0.0668,     38.9666,      0.3834,   1038.2456,      0.0132,      0.0000,      0.0014,      0.0008,      0.0514,      0.0000,      0.1791,      0.0000,      0.0384,      0.0190,      0.1470,      0.0000,      0.0007,      0.0007,      0.0005,      0.1510,     38.8136,      0.0246,      0.0117,      0.0514,     10.0699,    970.3343,     57.7536,      0.0000,      0.0006,     52.7541,      0.0492,      0.0000,
    1,    2,      0.0086,      0.0225,      0.0086,      0.0000,      0.0163,      0.0057,      1.2965,      0.0000,   2145.8406,   1170.0483,      4.3152,    526.8436,   1615.6504,      0.0758,     37.6692,      0.4588,   1038.0442,      0.0190,      0.0000,      0.0018,      0.0010,      0.0540,      0.0000,      0.2305,      0.0000,      0.0495,      0.0244,      0.1544,      0.0000,      0.0011,      0.0009,      0.0005,      0.0442,     37.6226,      0.0345,      0.0147,      0.0471,      2.9364,    940.5309,     94.4806,      0.0000,      0.1151,     36.8432,      0.0397,      0.0000,
    1,    3,      0.0089,      0.0280,      0.0089,      0.0000,      0.0196,      0.0072,      1.1772,      0.0000,   2169.0203,   1167.5861,      4.6022,    437.0279,   1729.9891,      0.0862,     36.4891,      0.5441,   1037.8021,      0.0251,      0.0000,      0.0022,      0.0012,      0.0576,      0.0000,      0.2875,      0.0000,      0.0616,      0.0304,      0.1645,      0.0000,      0.0016,      0.0011,      0.0004,      0.0135,     36.4725,      0.0455,      0.0188,      0.0409,      0.8779,    911.8120,    125.0070,      0.0000,      0.1365,     30.6633,      0.0512,      0.0000,
    1,    4,      0.0093,      0.0294,      0.0093,      0.0000,      0.0217,      0.0083,      1.1174,      0.0000,   1942.6100,   1174.9333,      7.2257,    397.1661,   1531.0188,      0.0971,     35.3714,      0.5757,   1037.5999,      0.0313,      0.0000,      0.0023,      0.0013,      0.0622,     -0.0000,      0.3014,      0.0000,      0.0646,      0.0319,      0.1778,     -0.0000,      0.0019,      0.0015,      0.0004,      0.0048,     35.3628,      0.0563,      0.0252,      0.0374,      0.2821,    884.0700,    153.1289,      0.0000,      0.0954,     28.2178,      0.0638,      0.0000,
    1,    5,      0.0098,      0.0309,      0.0098,      0.0000,      0.0216,      0.0090,      1.0624,      0.0000,   2036.0402,   1179.8458,      6.6820,    408.9032,   1615.6857,      0.1071,     34.3090,      0.6120,   1037.3683,      0.0356,      0.0000,      0.0025,      0.0013,      0.0677,     -0.0000,      0.3168,      0.0002,      0.0681,      0.0335,      0.1934,     -0.0000,      0.0021,      0.0018,      0.0004,      0.0024,     34.3023,      0.0628,      0.0306,      0.0355,      0.1124,    857.5576,    179.5695,      0.0000,      0.1029,     26.5437,      0.0666,      0.0000,
    1,    6,      0.0103,      0.0324,      0.0103,      0.0000,      0.0246,      0.0097,      1.0318,      0.0000,   3175.3411,   1175.2876,      6.3632,    545.0733,   2628.5981,      0.1193,     33.2774,      0.6805,   1037.0864,      0.0413,      0.0006,      0.0026,      0.0014,      0.0734,      0.0000,      0.3326,      0.0317,      0.0713,      0.0352,      0.2097,      0.0000,      0.0023,      0.0021,      0.0003,      0.0017,     33.2710,      0.0677,      0.0355,      0.0342,      0.0640,    831.7722,    205.1129,      0.0000,      0.1387,     25.6829,      0.0702,      0.0000,
    1,    7,      0.0108,      0.0342,      0.0108,      0.0000,      0.0254,      0.0106,      1.0229,      0.0000,   2481.2307,   1174.3191,      6.6515,    474.1026,   2001.5873,      0.1313,     32.2547,      0.7573,   1036.7953,      0.0459,      0.0013,      0.0027,      0.0015,      0.0798,      0.0000,      0.3496,      0.0674,      0.0751,      0.0370,      0.2281,      0.0000,      0.0024,      0.0024,      0.0003,      0.0016,     32.2480,      0.0718,      0.0397,      0.0330,      0.0508,    806.1976,    230.4023,      0.0000,      0.1503,     25.4397,      0.0736,      0.0000,
    1,    8,      0.0114,      0.0359,      0.0114,      0.0000,      0.0268,      0.0114,      1.0035,      0.0000,   3094.2708,   1181.1731,      8.0496,    452.3919,   2627.1140,      0.1438,     31.2514,      0.8414,   1036.4995,      0.0503,      0.0021,      0.0029,      0.0016,      0.0869,      0.0000,      0.3680,      0.1069,      0.0791,      0.0390,      0.2484,      0.0000,      0.0025,      0.0026,      0.0003,      0.0016,     31.2444,      0.0759,      0.0437,      0.0320,      0.0484,    781.1066,    255.1930,      0.0000,      0.1617,     24.9524,      0.0777,      0.0000,
    1,    9,      0.0120,      0.0378,      0.0120,      0.0000,      0.0287,      0.0120,      0.9565,      0.0000,   2824.8406,   1171.3256,      7.7955,    586.4312,   2240.5994,      0.1573,     30.2954,      0.9318,   1036.2117,      0.0549,      0.0030,      0.0030,      0.0016,      0.0947,     -0.0000,      0.3876,      0.1493,      0.0832,      0.0410,      0.2707,     -0.0000,      0.0027,      0.0029,      0.0003,      0.0017,     30.2878,      0.0800,      0.0475,      0.0310,      0.0502,    757.1959,    278.8072,      0.0000,      0.1720,     23.7855,      0.0816,      0.0000,
    1,   10,      0.0127,      0.0398,      0.0127,      0.0000,      0.0291,      0.0129,      0.9386,      0.0000,   2307.3301,   1176.2612,      8.3122,    469.2275,   1824.9843,      0.1702,     29.3575,      1.0281,   1035.9147,      0.0582,      0.0039,      0.0032,      0.0017,      0.1032,      0.0000,      0.4079,      0.1946,      0.0876,      0.0432,      0.2948,      0.0000,      0.0028,      0.0031,      0.0003,      0.0017,     29.3496,      0.0843,      0.0512,      0.0300,      0.0522,    733.7375,    301.9596,      0.0000,      0.1822,     23.3365,      0.0859,      0.0000,
